Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1uF,C15849
"C10, C5, C6, C7, C8, C9",0402,6,100nF,C1525
C11,0402,1,10nF,C15195
C12,0402,1,1uF,C52923
"C13, C15, C18, C20, C22, C26, C27, C29, C32",0805,9,10uF/50V,C440198
"C19, C21, C23",0603,3,22pF,C1653
C24,0603,1,100nF/6.3V,C14663
C25,0603,1,1uF/6.3V,C15849
C28,0603,1,47nF/50V,C1622
"C3, C4",0402,2,12pF,C1547
C30,0603,1,1uF/16V,C15849
C31,0603,1,100nF/50V,C14663
C33,0805,1,22uF/16V,C45783
D1,D_SOD-123F,1,BZT52Bxx,C19077392
J4,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,Serial,C514175
L1,L_Taiyo-Yuden_MD-3030,1,47uH,C135243
LD1,RGB LED 1.6x1.6mm,1,LED_BAGR,C375569
"R1, R2, R3",0402,3,1k,C25104
R10,0805,1,22k,C17560
"R4, R5",0603,2,5.1k,C23186
"R6, R7, R8",0603,3,330R,C23138
"SB1, SB2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,SolderJumper_2_Open,
SB3,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,
SW1,SW_SPST_TS-1088-xR020,1,RESET,C720477
TP1,TestPoint_Pad_D1.0mm,1,GND,
TP2,TestPoint_Pad_D1.0mm,1,~{RESET},
TP3,TestPoint_Pad_D1.0mm,1,V_{CC},
TP4,TestPoint_Pad_D1.0mm,1,PGND,
TP5,TestPoint_Pad_D1.0mm,1,V_{BK},
TP6,TestPoint_Pad_D1.0mm,1,nSLEEP,
U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G431CBUx,C529356
U3,VQFN-40_RGF_5x7mm_0.5mm_pitch_thermalpad,1,DRV8316CR,C5447274
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
