Designator,Mid X,Mid Y,Rotation,Layer
C1,-6.5,-8.5,90.0,top
C10,-12.4,4.05,315.0,top
C11,-2.1,3.15,315.0,top
C12,-2.8,2.45,315.0,top
C13,8.0,-9.5,270.0,top
C15,6.0,-9.5,270.0,top
C18,4.0,-9.5,270.0,top
C19,-2.5,-3.75,180.0,top
C2,-6.5,-5.5,270.0,top
C20,1.25,-10.25,0.0,top
C21,-2.5,-2.25,180.0,top
C22,-0.25,-13.0,90.0,top
C23,-2.5,-0.75,180.0,top
C24,-0.508,0.75,180.0,top
C25,8.3,5.5,270.0,top
C26,1.75,-13.0,90.0,top
C27,3.75,-13.0,90.0,top
C28,5.6,-5.5,270.0,top
C29,5.75,-13.0,90.0,top
C3,-15.24,-2.827959,135.0,top
C30,7.5,-5.5,90.0,top
C31,9.75,-4.75,180.0,top
C32,10.0,-6.5,180.0,top
C33,3.4,-5.4,270.0,top
C4,-13.843,-4.224959,315.0,top
C5,-11.2,1.6,225.0,top
C6,-13.65,4.8,225.0,top
C7,-3.5,1.75,315.0,top
C8,-1.4,3.85,315.0,top
C9,-5.4,11.55,45.0,top
D1,1.0,14.25,0.0,top
J1,13.0228,-10.9274,0.0,top
J2,13.0228,10.9274,0.0,top
J4,-8.25,-14.25,330.0,top
J6,15.9748,-5.8143,0.0,top
J7,17.0,0.0,0.0,top
J8,15.9748,5.8143,0.0,top
L1,0.5,-6.5,90.0,top
LD1,-13.97,-11.43,215.0,top
R1,-13.0257,-8.9745,35.0,top
R10,5.0,14.25,180.0,top
R2,-12.4521,-9.7937,35.0,top
R3,-11.8785,-10.6128,35.0,top
R4,3.048,5.5,270.0,top
R5,10.0,5.5,270.0,top
R6,0.5,-3.75,0.0,top
R7,0.5,-2.25,0.0,top
R8,0.5,-0.75,0.0,top
SW1,0.0,17.75,0.0,top
U2,-7.4139,5.9252,315.0,top
U3,6.75,0.0,0.0,top
Y1,-13.081,-1.938959,135.0,top
